wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (11.14413000000000054 2.91471999999999998),31/05/2017,31/05/2017,2.91472,11.14413,602,maize,no,2017_CM_GARDIAN-62_POINT_110189,11,1200,0,31/05/2017
Point (11.15065000000000062 2.89795999999999987),31/05/2017,31/05/2017,2.89796,11.15065,592,maize,manioc,2017_CM_GARDIAN-62_POINT_110190,11,9998,0,31/05/2017
Point (11.12811999999999912 2.93608000000000002),31/05/2017,31/05/2017,2.93608,11.12812,611,maize,arachide/manioc,2017_CM_GARDIAN-62_POINT_110191,11,9998,0,31/05/2017
Point (11.11989999999999945 2.94337999999999989),31/05/2017,31/05/2017,2.94338,11.1199,614,maize,no,2017_CM_GARDIAN-62_POINT_110192,11,1200,0,31/05/2017
Point (11.15486999999999895 2.83111999999999986),31/05/2017,31/05/2017,2.83112,11.15487,614,maize,manios/cacao,2017_CM_GARDIAN-62_POINT_110193,10,9998,0,31/05/2017
Point (11.15634000000000015 2.83143000000000011),31/05/2017,31/05/2017,2.83143,11.15634,610,maize,manioc/arachide,2017_CM_GARDIAN-62_POINT_110194,11,9998,0,31/05/2017
Point (11.1332899999999988 2.8178700000000001),31/05/2017,31/05/2017,2.81787,11.13329,572,maize,no,2017_CM_GARDIAN-62_POINT_110195,11,1200,0,31/05/2017
Point (11.13203000000000031 2.81254000000000026),31/05/2017,31/05/2017,2.81254,11.13203,567,maize,no,2017_CM_GARDIAN-62_POINT_110196,11,1200,0,31/05/2017
Point (11.12943000000000104 2.81574999999999998),31/05/2017,31/05/2017,2.81575,11.12943,570,maize,manioc/arachide,2017_CM_GARDIAN-62_POINT_110197,11,9998,0,31/05/2017
Point (11.25661000000000023 2.38639000000000001),01/06/2017,01/06/2017,2.38639,11.25661,585,maize,manioc/macabo/pattate,2017_CM_GARDIAN-62_POINT_110198,11,9998,0,01/06/2017
Point (11.26864999999999917 2.39510999999999985),01/06/2017,01/06/2017,2.39511,11.26865,570,maize,no,2017_CM_GARDIAN-62_POINT_110199,11,1200,0,01/06/2017
Point (11.25999999999999979 2.38779999999999992),01/06/2017,01/06/2017,2.3878,11.26,610,maize,legumes/manioc/macabo/gombo,2017_CM_GARDIAN-62_POINT_110200,11,9998,0,01/06/2017
Point (11.30113000000000056 2.38827999999999996),01/06/2017,01/06/2017,2.38828,11.30113,607,maize,manioc/legumes/papaye/macabo,2017_CM_GARDIAN-62_POINT_110201,10,9998,0,01/06/2017
